Date,kW_Q0.025,kW_Q0.25,kW_Q0.75,kW_Q0.975,kW,hour_max_demand,kWH,month,day_of_week
2014-03-05,55.8,84.30000000000001,194.25,215.1,230.0,12,3184.75,3,2
2014-03-06,63.099999999999994,69.9,185.29999999999998,203.575,213.6,12,3083.55,3,3
2014-03-07,55.9,76.44999999999999,181.7,202.4,215.6,12,3008.15,3,4
2014-03-08,51.675,65.55,118.1,128.425,133.0,11,2210.7,3,5
2014-03-09,50.05500000000001,56.74999999999999,71.85,76.57999999999998,79.6,7,1494.75,3,6
2014-03-10,51.275,57.55,177.1,205.025,226.2,12,2889.3,3,0
2014-03-11,49.675,57.5,190.4,202.775,207.2,12,3118.4,3,1
2014-03-12,53.15,58.10000000000001,180.04999999999998,198.1,203.4,12,2944.3500000000004,3,2
2014-03-13,45.95,55.6,191.5,220.375,239.2,9,2985.1,3,3
2014-03-14,48.45,56.3,166.45000000000002,187.175,222.2,13,2782.000000000001,3,4
2014-03-15,50.05,55.10000000000001,69.6,81.65,88.8,19,1509.55,3,5
2014-03-16,46.575,53.349999999999994,64.3,73.85,75.2,5,1417.45,3,6
2014-03-17,49.075,62.9,183.90000000000003,208.925,235.6,11,2959.0999999999995,3,0
2014-03-18,55.075,63.8,191.5,210.8,234.0,11,3048.6,3,1
2014-03-19,49.825,56.55,200.95000000000002,218.85,239.2,10,3114.0000000000005,3,2
2014-03-20,51.475,62.35,182.5,205.35,220.4,11,2965.1000000000004,3,3
2014-03-21,48.2,57.800000000000004,183.9,209.075,234.8,11,2989.95,3,4
2014-03-22,48.1,52.74999999999999,71.5,79.875,86.0,9,1492.5500000000004,3,5
2014-03-23,49.85,56.150000000000006,71.05,77.05,82.6,12,1541.4499999999998,3,6
2014-03-24,50.5,57.599999999999994,176.5,193.05,207.4,12,2828.5999999999995,3,0
2014-03-25,52.075,59.64999999999999,184.1,205.25,234.2,10,2917.9500000000003,3,1
2014-03-26,46.85,63.74999999999999,180.90000000000003,201.95,220.4,11,2944.9000000000005,3,2
2014-03-27,52.55,62.8,182.00000000000003,206.15,214.4,10,2929.75,3,3
2014-03-28,47.625,54.8,188.95,216.7,224.8,11,2923.35,3,4
2014-03-29,49.475,53.4,71.2,81.075,83.2,9,1496.5000000000005,3,5
2014-03-30,47.4,52.6,65.5,74.9,76.4,7,1420.4999999999998,3,6
2014-03-31,45.3,54.150000000000006,173.2,195.575,212.2,8,2788.949999999999,3,0
