Times,Value
4/11/2022 23:11,FALSE
4/12/2022 4:41,FALSE
4/12/2022 4:41,TRUE
4/12/2022 23:11,TRUE
4/12/2022 23:11,FALSE
4/13/2022 4:41,FALSE
4/13/2022 4:41,TRUE
4/13/2022 23:11,TRUE
4/13/2022 23:11,FALSE
4/14/2022 4:41,FALSE
4/14/2022 4:41,TRUE
4/14/2022 23:11,TRUE
4/14/2022 23:11,FALSE
4/15/2022 4:41,FALSE
4/15/2022 4:41,TRUE
4/15/2022 23:11,TRUE
4/15/2022 23:11,FALSE
4/16/2022 4:41,FALSE
4/16/2022 4:41,TRUE
4/16/2022 23:11,TRUE
4/16/2022 23:11,FALSE
4/17/2022 4:41,FALSE
4/17/2022 4:41,TRUE
4/17/2022 23:10,TRUE
4/17/2022 23:10,FALSE
4/18/2022 4:40,FALSE
4/18/2022 4:40,TRUE
4/18/2022 23:10,TRUE
4/18/2022 23:10,FALSE
4/19/2022 4:40,FALSE
4/19/2022 4:41,TRUE
4/19/2022 23:10,TRUE
4/19/2022 23:10,FALSE
4/20/2022 4:40,FALSE
4/20/2022 4:40,TRUE
4/20/2022 6:40,TRUE
4/20/2022 6:40,FALSE
4/20/2022 6:55,FALSE
4/20/2022 6:55,TRUE
4/20/2022 7:10,TRUE
4/20/2022 7:10,FALSE
4/20/2022 7:25,FALSE
4/20/2022 7:25,TRUE
4/20/2022 23:10,TRUE
4/20/2022 23:10,FALSE
4/21/2022 4:40,FALSE
4/21/2022 4:40,TRUE
4/21/2022 23:10,TRUE
4/21/2022 23:10,FALSE
4/22/2022 4:40,FALSE
4/22/2022 4:40,TRUE
4/22/2022 23:10,TRUE
4/22/2022 23:10,FALSE
4/23/2022 4:40,FALSE
4/23/2022 4:40,TRUE
4/23/2022 11:25,TRUE
4/23/2022 11:25,FALSE
4/23/2022 12:10,FALSE
4/23/2022 20:40,TRUE
4/23/2022 23:10,TRUE
4/23/2022 23:10,FALSE
4/24/2022 4:40,FALSE
4/24/2022 4:40,TRUE
4/24/2022 23:10,TRUE
4/24/2022 23:10,FALSE
4/25/2022 4:40,FALSE
4/25/2022 4:40,TRUE
4/25/2022 23:10,TRUE
4/25/2022 23:10,FALSE
4/26/2022 4:40,FALSE
4/26/2022 4:40,TRUE
4/26/2022 23:10,TRUE
4/26/2022 23:10,FALSE
4/27/2022 4:40,FALSE
4/27/2022 4:40,TRUE
4/27/2022 8:10,TRUE
4/27/2022 8:10,FALSE
4/27/2022 8:25,FALSE
4/27/2022 8:25,TRUE
4/27/2022 23:10,TRUE
4/27/2022 23:10,FALSE
4/28/2022 4:40,FALSE
4/28/2022 4:40,TRUE
4/28/2022 23:10,TRUE
4/28/2022 23:10,FALSE
4/29/2022 4:40,FALSE
4/29/2022 4:40,TRUE
4/29/2022 23:10,TRUE
4/29/2022 23:10,FALSE
4/30/2022 4:40,FALSE
4/30/2022 4:40,TRUE
4/30/2022 23:10,TRUE
4/30/2022 23:10,FALSE
5/1/2022 4:40,FALSE
5/1/2022 4:40,TRUE
5/1/2022 23:10,TRUE
5/1/2022 23:10,FALSE
5/2/2022 4:40,FALSE
5/2/2022 4:40,TRUE
5/2/2022 23:10,TRUE
5/2/2022 23:10,FALSE
5/3/2022 4:40,FALSE
5/3/2022 4:40,TRUE
5/3/2022 23:10,TRUE
5/3/2022 23:10,FALSE
5/4/2022 4:40,FALSE
5/4/2022 4:40,TRUE
5/4/2022 23:10,TRUE
5/4/2022 23:10,FALSE
5/5/2022 4:40,FALSE
5/5/2022 4:40,TRUE
5/5/2022 23:10,TRUE
5/5/2022 23:10,FALSE
5/6/2022 4:40,FALSE
5/6/2022 4:40,TRUE
5/6/2022 23:10,TRUE
5/6/2022 23:10,FALSE
