Timestamp,Value
10-Apr-22 9:03:34 AM CDT,On
10-Apr-22 4:00:08 PM CDT,Off
11-Apr-22 7:03:37 AM CDT,On
11-Apr-22 5:00:03 PM CDT,Off
12-Apr-22 7:03:18 AM CDT,On
12-Apr-22 5:00:10 PM CDT,Off
13-Apr-22 7:03:23 AM CDT,On
13-Apr-22 5:00:10 PM CDT,Off
14-Apr-22 7:03:26 AM CDT,On
14-Apr-22 5:00:08 PM CDT,Off
15-Apr-22 7:03:16 AM CDT,On
15-Apr-22 5:00:05 PM CDT,Off
16-Apr-22 9:03:38 AM CDT,On
16-Apr-22 4:00:15 PM CDT,Off
17-Apr-22 9:03:25 AM CDT,On
17-Apr-22 4:00:10 PM CDT,Off
18-Apr-22 7:03:25 AM CDT,On
18-Apr-22 5:00:07 PM CDT,Off
19-Apr-22 7:03:37 AM CDT,On
19-Apr-22 5:00:05 PM CDT,Off
20-Apr-22 7:03:21 AM CDT,On
20-Apr-22 5:00:09 PM CDT,Off
21-Apr-22 7:03:25 AM CDT,On
21-Apr-22 5:00:06 PM CDT,Off
22-Apr-22 7:03:29 AM CDT,On
22-Apr-22 5:00:07 PM CDT,Off
23-Apr-22 9:03:30 AM CDT,On
23-Apr-22 4:00:05 PM CDT,Off
24-Apr-22 9:03:27 AM CDT,On
24-Apr-22 4:00:06 PM CDT,Off
25-Apr-22 7:03:28 AM CDT,On
25-Apr-22 5:00:03 PM CDT,Off
26-Apr-22 7:03:25 AM CDT,On
26-Apr-22 5:00:03 PM CDT,Off
27-Apr-22 7:03:34 AM CDT,On
27-Apr-22 5:00:10 PM CDT,Off
28-Apr-22 7:03:19 AM CDT,On
28-Apr-22 5:00:03 PM CDT,Off
29-Apr-22 7:03:24 AM CDT,On
29-Apr-22 5:00:04 PM CDT,Off
30-Apr-22 9:03:23 AM CDT,On
30-Apr-22 4:00:07 PM CDT,Off
01-May-22 9:03:25 AM CDT,On
01-May-22 4:00:06 PM CDT,Off
02-May-22 7:03:22 AM CDT,On
02-May-22 5:00:05 PM CDT,Off
03-May-22 7:03:29 AM CDT,On
03-May-22 5:00:07 PM CDT,Off
04-May-22 7:03:21 AM CDT,On
04-May-22 5:00:05 PM CDT,Off
05-May-22 7:03:26 AM CDT,On
05-May-22 5:00:04 PM CDT,Off
06-May-22 7:03:20 AM CDT,On
06-May-22 5:00:10 PM CDT,Off
07-May-22 9:03:16 AM CDT,On
07-May-22 4:00:08 PM CDT,Off
08-May-22 9:03:25 AM CDT,On
08-May-22 4:00:06 PM CDT,Off
09-May-22 7:03:17 AM CDT,On
09-May-22 5:00:12 PM CDT,Off
10-May-22 7:03:18 AM CDT,On
10-May-22 5:00:02 PM CDT,Off
11-May-22 7:03:15 AM CDT,On
11-May-22 5:00:06 PM CDT,Off
12-May-22 6:39:54 AM CDT,Off
12-May-22 6:40:06 AM CDT,Off
12-May-22 6:40:48 AM CDT,Off
12-May-22 6:40:49 AM CDT,Off
12-May-22 6:41:00 AM CDT,On
12-May-22 5:00:09 PM CDT,Off
13-May-22 7:03:19 AM CDT,On
13-May-22 5:00:09 PM CDT,Off
14-May-22 9:03:16 AM CDT,On
14-May-22 4:00:04 PM CDT,Off
15-May-22 9:03:23 AM CDT,On
15-May-22 4:00:03 PM CDT,Off
16-May-22 7:03:29 AM CDT,On
16-May-22 5:00:05 PM CDT,Off
17-May-22 7:03:25 AM CDT,On
17-May-22 5:04:38 PM CDT,Off
18-May-22 7:03:24 AM CDT,On
18-May-22 9:43:37 PM CDT,Off
19-May-22 7:03:29 AM CDT,On
19-May-22 5:00:03 PM CDT,Off
20-May-22 7:03:26 AM CDT,On
20-May-22 5:00:06 PM CDT,Off
21-May-22 9:03:26 AM CDT,On
21-May-22 4:00:04 PM CDT,Off
22-May-22 9:03:20 AM CDT,On
22-May-22 4:00:03 PM CDT,Off
23-May-22 7:03:27 AM CDT,On
23-May-22 5:00:03 PM CDT,Off
24-May-22 7:03:12 AM CDT,On
24-May-22 5:00:09 PM CDT,Off
25-May-22 7:03:11 AM CDT,On
25-May-22 5:00:09 PM CDT,Off
26-May-22 7:03:24 AM CDT,On
26-May-22 5:00:07 PM CDT,Off
27-May-22 7:03:14 AM CDT,On
27-May-22 5:21:36 PM CDT,Off
28-May-22 9:03:24 AM CDT,On
28-May-22 4:00:06 PM CDT,Off
29-May-22 9:03:17 AM CDT,On
31-May-22 6:51:48 AM CDT,Off
31-May-22 7:01:34 AM CDT,On
31-May-22 5:00:09 PM CDT,Off
01-Jun-22 7:03:24 AM CDT,On
01-Jun-22 5:00:08 PM CDT,Off
02-Jun-22 7:03:24 AM CDT,On
02-Jun-22 5:00:04 PM CDT,Off
03-Jun-22 7:03:26 AM CDT,On
03-Jun-22 5:00:03 PM CDT,Off
04-Jun-22 9:03:28 AM CDT,On
04-Jun-22 4:00:06 PM CDT,Off
05-Jun-22 9:03:22 AM CDT,On
05-Jun-22 4:00:05 PM CDT,Off
06-Jun-22 7:03:21 AM CDT,On
