Timestamp,Value
02-Mar-22 12:00:43 PM CST,On
02-Mar-22 12:00:43 PM CST,On
02-Mar-22 5:00:19 PM CST,Off
03-Mar-22 7:00:41 AM CST,On
03-Mar-22 5:00:15 PM CST,Off
04-Mar-22 7:00:37 AM CST,On
04-Mar-22 5:00:14 PM CST,Off
05-Mar-22 9:00:39 AM CST,On
05-Mar-22 4:00:14 PM CST,Off
06-Mar-22 9:00:35 AM CST,On
06-Mar-22 4:00:17 PM CST,Off
07-Mar-22 7:00:40 AM CST,On
07-Mar-22 5:00:13 PM CST,Off
08-Mar-22 7:00:35 AM CST,On
08-Mar-22 5:00:16 PM CST,Off
09-Mar-22 7:00:37 AM CST,On
09-Mar-22 5:00:13 PM CST,Off
10-Mar-22 7:00:34 AM CST,On
10-Mar-22 5:00:16 PM CST,Off
11-Mar-22 7:00:35 AM CST,On
11-Mar-22 5:00:16 PM CST,Off
12-Mar-22 9:00:35 AM CST,On
12-Mar-22 4:00:16 PM CST,Off
13-Mar-22 9:00:37 AM CDT,On
13-Mar-22 4:00:15 PM CDT,Off
14-Mar-22 7:00:41 AM CDT,On
14-Mar-22 5:00:16 PM CDT,Off
15-Mar-22 7:00:36 AM CDT,On
15-Mar-22 5:00:26 PM CDT,Off
16-Mar-22 7:00:41 AM CDT,On
16-Mar-22 5:00:17 PM CDT,Off
17-Mar-22 7:00:37 AM CDT,On
17-Mar-22 5:00:19 PM CDT,Off
18-Mar-22 7:00:39 AM CDT,On
18-Mar-22 5:00:14 PM CDT,Off
19-Mar-22 9:00:36 AM CDT,On
19-Mar-22 4:00:20 PM CDT,Off
20-Mar-22 9:00:38 AM CDT,On
20-Mar-22 4:00:16 PM CDT,Off
21-Mar-22 7:00:39 AM CDT,On
21-Mar-22 7:56:46 AM CDT,Off
21-Mar-22 9:22:53 AM CDT,On
21-Mar-22 5:00:11 PM CDT,Off
22-Mar-22 7:00:37 AM CDT,On
22-Mar-22 5:00:13 PM CDT,Off
23-Mar-22 7:00:36 AM CDT,On
23-Mar-22 5:00:16 PM CDT,Off
24-Mar-22 7:00:40 AM CDT,On
24-Mar-22 10:53:23 AM CDT,Off
24-Mar-22 10:56:04 AM CDT,On
24-Mar-22 5:00:16 PM CDT,Off
25-Mar-22 7:00:36 AM CDT,On
25-Mar-22 5:00:21 PM CDT,Off
26-Mar-22 9:00:34 AM CDT,On
26-Mar-22 4:00:13 PM CDT,Off
27-Mar-22 9:00:35 AM CDT,On
27-Mar-22 4:00:12 PM CDT,Off
28-Mar-22 7:00:34 AM CDT,On
28-Mar-22 5:00:14 PM CDT,Off
29-Mar-22 7:00:41 AM CDT,On
29-Mar-22 5:00:21 PM CDT,Off
30-Mar-22 7:00:39 AM CDT,On
30-Mar-22 5:00:18 PM CDT,Off
31-Mar-22 7:00:40 AM CDT,On
31-Mar-22 5:00:13 PM CDT,Off
01-Apr-22 7:00:37 AM CDT,On
01-Apr-22 5:00:21 PM CDT,Off
02-Apr-22 9:00:41 AM CDT,On
02-Apr-22 4:00:18 PM CDT,Off
03-Apr-22 9:00:38 AM CDT,On
03-Apr-22 4:00:16 PM CDT,Off
04-Apr-22 7:00:39 AM CDT,On
04-Apr-22 5:00:16 PM CDT,Off
05-Apr-22 7:00:37 AM CDT,On
05-Apr-22 5:00:18 PM CDT,Off
06-Apr-22 7:00:38 AM CDT,On
06-Apr-22 5:00:16 PM CDT,Off
07-Apr-22 7:00:36 AM CDT,On
07-Apr-22 5:00:13 PM CDT,Off
08-Apr-22 7:00:39 AM CDT,On
08-Apr-22 5:00:15 PM CDT,Off
09-Apr-22 9:00:40 AM CDT,On
09-Apr-22 4:00:20 PM CDT,Off
