Timestamp,Value
06-May-22 7:00:22 AM CDT,On
06-May-22 5:01:42 PM CDT,Off
07-May-22 9:00:17 AM CDT,On
07-May-22 4:01:35 PM CDT,Off
08-May-22 9:00:13 AM CDT,On
08-May-22 4:01:35 PM CDT,Off
09-May-22 7:00:19 AM CDT,On
09-May-22 5:01:35 PM CDT,Off
10-May-22 7:00:16 AM CDT,On
10-May-22 5:01:35 PM CDT,Off
11-May-22 7:00:12 AM CDT,On
11-May-22 5:01:37 PM CDT,Off
12-May-22 6:39:54 AM CDT,Off
12-May-22 6:40:06 AM CDT,Off
12-May-22 6:40:48 AM CDT,Off
12-May-22 6:40:49 AM CDT,Off
12-May-22 7:00:15 AM CDT,On
12-May-22 5:01:39 PM CDT,Off
13-May-22 7:00:18 AM CDT,On
13-May-22 5:01:38 PM CDT,Off
14-May-22 9:00:16 AM CDT,On
14-May-22 4:01:37 PM CDT,Off
15-May-22 9:00:16 AM CDT,On
15-May-22 4:01:36 PM CDT,Off
16-May-22 7:00:19 AM CDT,On
16-May-22 5:01:36 PM CDT,Off
17-May-22 7:00:12 AM CDT,On
17-May-22 5:06:04 PM CDT,Off
18-May-22 7:00:16 AM CDT,On
18-May-22 9:45:05 PM CDT,Off
19-May-22 7:00:13 AM CDT,On
19-May-22 5:01:37 PM CDT,Off
20-May-22 7:00:16 AM CDT,On
20-May-22 5:01:38 PM CDT,Off
21-May-22 9:00:18 AM CDT,On
21-May-22 4:01:36 PM CDT,Off
22-May-22 9:00:16 AM CDT,On
22-May-22 4:01:39 PM CDT,Off
23-May-22 7:00:13 AM CDT,On
23-May-22 5:01:35 PM CDT,Off
24-May-22 7:00:20 AM CDT,On
24-May-22 5:01:41 PM CDT,Off
25-May-22 7:00:13 AM CDT,On
25-May-22 5:01:35 PM CDT,Off
26-May-22 7:00:14 AM CDT,On
26-May-22 5:01:38 PM CDT,Off
27-May-22 7:00:18 AM CDT,On
27-May-22 5:23:07 PM CDT,Off
28-May-22 9:00:17 AM CDT,On
28-May-22 4:01:37 PM CDT,Off
29-May-22 9:00:19 AM CDT,On
31-May-22 6:53:24 AM CDT,Off
31-May-22 6:58:19 AM CDT,On
31-May-22 5:01:35 PM CDT,Off
01-Jun-22 7:00:12 AM CDT,On
01-Jun-22 7:00:14 AM CDT,Off
01-Jun-22 7:00:16 AM CDT,On
01-Jun-22 5:01:35 PM CDT,Off
02-Jun-22 7:00:17 AM CDT,On
02-Jun-22 5:01:37 PM CDT,Off
03-Jun-22 7:00:17 AM CDT,On
03-Jun-22 5:01:34 PM CDT,Off
04-Jun-22 9:00:16 AM CDT,On
04-Jun-22 4:01:37 PM CDT,Off
05-Jun-22 9:00:16 AM CDT,On
05-Jun-22 4:01:39 PM CDT,Off
06-Jun-22 7:00:13 AM CDT,On
