Date,dat
5/7/2022 12:00,72.4
5/7/2022 12:05,72.3
5/7/2022 12:10,72.4
5/7/2022 12:15,72.5
5/7/2022 12:20,72.7
5/7/2022 12:25,72.9
5/7/2022 12:30,73
5/7/2022 12:35,73
5/7/2022 12:40,73.1
5/7/2022 12:45,73.1
5/7/2022 12:50,73.4
5/7/2022 12:55,73.7
5/7/2022 13:00,73.7
5/7/2022 13:05,73.6
5/7/2022 13:10,73.5
5/7/2022 13:15,73.4
5/7/2022 13:20,73.3
5/7/2022 13:25,73.4
5/7/2022 13:30,73.5
5/7/2022 13:35,73.6
5/7/2022 13:40,73.7
5/7/2022 13:45,73.8
5/7/2022 13:50,73.9
5/7/2022 13:55,74
5/7/2022 14:00,74.1
5/7/2022 14:05,74.2
5/7/2022 14:10,74.4
5/7/2022 14:15,74.5
5/7/2022 14:20,74.4
5/7/2022 14:25,74.4
5/7/2022 14:30,74.5
5/7/2022 14:35,74.4
5/7/2022 14:40,74.6
5/7/2022 14:45,74.6
5/7/2022 14:50,74.6
5/7/2022 14:55,74.6
5/7/2022 15:00,74.8
5/7/2022 15:05,74.8
5/7/2022 15:10,74.8
5/7/2022 15:15,74.8
5/7/2022 15:20,74.8
5/7/2022 15:25,74.8
5/7/2022 15:30,74.9
5/7/2022 15:35,75.1
5/7/2022 15:40,75.1
5/7/2022 15:45,75
5/7/2022 15:50,75.1
5/7/2022 15:55,75.2
5/7/2022 16:00,75.2
5/7/2022 16:05,74.9
5/7/2022 16:10,74.8
5/7/2022 16:15,74.8
5/7/2022 16:20,74.8
5/7/2022 16:25,74.8
5/7/2022 16:30,74.8
5/7/2022 16:35,74.8
5/7/2022 16:40,74.8
5/7/2022 16:45,74.7
5/7/2022 16:50,74.7
5/7/2022 16:55,74.7
5/7/2022 17:00,74.6
5/7/2022 17:05,74.6
5/7/2022 17:10,74.5
5/7/2022 17:15,74.5
5/7/2022 17:20,74.5
5/7/2022 17:25,74.5
5/7/2022 17:30,74.4
5/7/2022 17:35,74.4
5/7/2022 17:40,74.3
5/7/2022 17:45,74.2
5/7/2022 17:50,74.2
5/7/2022 17:55,74.1
5/7/2022 18:00,74.1
5/7/2022 18:05,74.1
5/7/2022 18:10,74
5/7/2022 18:15,74
5/7/2022 18:20,73.9
5/7/2022 18:25,73.9
5/7/2022 18:30,73.9
5/7/2022 18:35,73.8
5/7/2022 18:40,73.8
5/7/2022 18:45,73.8
5/7/2022 18:50,73.7
5/7/2022 18:55,73.7
5/7/2022 19:00,73.7
5/7/2022 19:05,73.6
5/7/2022 19:10,73.6
5/7/2022 19:15,73.6
5/7/2022 19:20,73.6
5/7/2022 19:25,73.5
5/7/2022 19:30,73.5
5/7/2022 19:35,73.5
5/7/2022 19:40,73.5
5/7/2022 19:45,73.4
