Timestamp,Value
07-May-22 9:00:34 AM CDT,Occ
07-May-22 4:00:20 PM CDT,Unocc
08-May-22 9:00:28 AM CDT,Occ
08-May-22 4:00:59 PM CDT,Unocc
09-May-22 7:00:40 AM CDT,Occ
09-May-22 5:01:29 PM CDT,Unocc
10-May-22 7:00:52 AM CDT,Occ
10-May-22 5:01:42 PM CDT,Unocc
11-May-22 7:01:02 AM CDT,Occ
11-May-22 5:00:18 PM CDT,Unocc
12-May-22 6:40:50 AM CDT,Occ
12-May-22 6:41:42 AM CDT,Unocc
12-May-22 7:00:40 AM CDT,Occ
12-May-22 5:01:30 PM CDT,Unocc
13-May-22 7:00:36 AM CDT,Occ
13-May-22 5:01:15 PM CDT,Unocc
14-May-22 9:00:51 AM CDT,Occ
14-May-22 4:01:13 PM CDT,Unocc
15-May-22 9:00:23 AM CDT,Occ
15-May-22 4:00:46 PM CDT,Unocc
16-May-22 7:00:35 AM CDT,Occ
16-May-22 5:00:54 PM CDT,Unocc
17-May-22 7:00:24 AM CDT,Occ
17-May-22 5:01:12 PM CDT,Unocc
18-May-22 7:00:45 AM CDT,Occ
18-May-22 5:00:42 PM CDT,Unocc
19-May-22 7:00:17 AM CDT,Occ
19-May-22 5:01:55 PM CDT,Unocc
20-May-22 7:00:26 AM CDT,Occ
20-May-22 5:00:39 PM CDT,Unocc
21-May-22 9:00:12 AM CDT,Occ
21-May-22 4:00:44 PM CDT,Unocc
22-May-22 9:00:33 AM CDT,Occ
22-May-22 4:00:16 PM CDT,Unocc
23-May-22 7:00:28 AM CDT,Occ
23-May-22 5:01:33 PM CDT,Unocc
24-May-22 7:01:00 AM CDT,Occ
24-May-22 5:01:01 PM CDT,Unocc
25-May-22 7:01:00 AM CDT,Occ
25-May-22 5:00:14 PM CDT,Unocc
26-May-22 7:00:26 AM CDT,Occ
26-May-22 5:01:07 PM CDT,Unocc
27-May-22 7:00:40 AM CDT,Occ
27-May-22 5:01:15 PM CDT,Unocc
28-May-22 9:00:40 AM CDT,Occ
28-May-22 4:00:49 PM CDT,Unocc
29-May-22 9:01:05 AM CDT,Occ
29-May-22 4:00:52 PM CDT,Unocc
31-May-22 7:00:46 AM CDT,Occ
31-May-22 5:01:31 PM CDT,Unocc
01-Jun-22 7:01:00 AM CDT,Occ
01-Jun-22 5:00:40 PM CDT,Unocc
02-Jun-22 7:00:20 AM CDT,Occ
02-Jun-22 5:02:55 PM CDT,Unocc
03-Jun-22 7:00:11 AM CDT,Occ
03-Jun-22 5:01:00 PM CDT,Unocc
04-Jun-22 9:00:18 AM CDT,Occ
04-Jun-22 4:00:27 PM CDT,Unocc
05-Jun-22 9:00:28 AM CDT,Occ
05-Jun-22 4:00:30 PM CDT,Unocc
06-Jun-22 7:00:53 AM CDT,Occ
