Timestamp,Value (°F)
05-Jun-22 9:43:22 AM CDT,70.2
05-Jun-22 9:45:11 AM CDT,70.2
05-Jun-22 9:48:21 AM CDT,70.2
05-Jun-22 9:52:36 AM CDT,70.2
05-Jun-22 9:57:01 AM CDT,70.2
05-Jun-22 9:59:00 AM CDT,70.2
05-Jun-22 10:05:45 AM CDT,70.2
05-Jun-22 10:07:38 AM CDT,70.2
05-Jun-22 10:11:30 AM CDT,70.2
05-Jun-22 10:15:58 AM CDT,70.2
05-Jun-22 10:21:03 AM CDT,70.2
05-Jun-22 10:25:14 AM CDT,70.2
05-Jun-22 10:27:35 AM CDT,70.2
05-Jun-22 10:33:25 AM CDT,70.2
05-Jun-22 10:36:26 AM CDT,70.2
05-Jun-22 10:38:43 AM CDT,70.2
05-Jun-22 10:47:41 AM CDT,70.2
05-Jun-22 10:53:56 AM CDT,70.2
05-Jun-22 10:57:42 AM CDT,70.2
05-Jun-22 11:02:28 AM CDT,70.2
05-Jun-22 11:12:14 AM CDT,70.2
05-Jun-22 11:15:40 AM CDT,70.2
05-Jun-22 11:28:54 AM CDT,70.2
05-Jun-22 11:33:48 AM CDT,70.2
05-Jun-22 11:41:09 AM CDT,70.2
05-Jun-22 11:44:38 AM CDT,70.2
05-Jun-22 11:48:13 AM CDT,70.2
05-Jun-22 11:57:26 AM CDT,70.2
05-Jun-22 12:00:15 PM CDT,70.2
05-Jun-22 12:02:41 PM CDT,70.2
05-Jun-22 12:05:45 PM CDT,70.2
05-Jun-22 12:12:50 PM CDT,70.2
05-Jun-22 12:15:52 PM CDT,70.2
05-Jun-22 12:19:26 PM CDT,70.2
05-Jun-22 12:23:30 PM CDT,70.2
05-Jun-22 12:27:01 PM CDT,70.2
05-Jun-22 12:30:09 PM CDT,70.2
05-Jun-22 12:33:45 PM CDT,70.2
05-Jun-22 12:36:30 PM CDT,70.2
05-Jun-22 12:40:06 PM CDT,70.2
05-Jun-22 12:44:08 PM CDT,70.2
