Timestamp,Value (°F)
04-Jun-22 9:38:15 AM CDT,76.4
04-Jun-22 9:41:53 AM CDT,76.4
04-Jun-22 9:44:35 AM CDT,76.4
04-Jun-22 9:48:21 AM CDT,76.4
04-Jun-22 10:04:24 AM CDT,76.4
04-Jun-22 10:06:55 AM CDT,76.4
04-Jun-22 10:14:40 AM CDT,76.4
04-Jun-22 10:17:19 AM CDT,76.4
04-Jun-22 10:24:32 AM CDT,76.4
04-Jun-22 10:27:38 AM CDT,76.4
04-Jun-22 10:30:23 AM CDT,76.4
04-Jun-22 10:35:47 AM CDT,76.4
04-Jun-22 10:41:06 AM CDT,76.4
04-Jun-22 10:45:30 AM CDT,76.4
04-Jun-22 10:50:41 AM CDT,76.4
04-Jun-22 10:53:57 AM CDT,76.4
04-Jun-22 10:57:24 AM CDT,76.4
04-Jun-22 11:04:07 AM CDT,76.4
04-Jun-22 11:08:08 AM CDT,76.4
04-Jun-22 11:13:03 AM CDT,76.4
04-Jun-22 11:15:35 AM CDT,76.4
04-Jun-22 11:21:13 AM CDT,76.4
04-Jun-22 11:24:02 AM CDT,76.4
04-Jun-22 11:27:05 AM CDT,76.4
04-Jun-22 11:39:03 AM CDT,76.4
04-Jun-22 11:42:16 AM CDT,76.4
04-Jun-22 11:53:33 AM CDT,76.4
04-Jun-22 12:04:04 PM CDT,76.4
04-Jun-22 12:11:22 PM CDT,76.4
04-Jun-22 12:18:17 PM CDT,76.4
04-Jun-22 12:23:03 PM CDT,76.4
04-Jun-22 12:29:00 PM CDT,76.4
04-Jun-22 12:32:18 PM CDT,76.4
04-Jun-22 12:35:10 PM CDT,76.4
04-Jun-22 12:39:28 PM CDT,76.4
04-Jun-22 12:43:08 PM CDT,76.4
04-Jun-22 12:47:27 PM CDT,76.4
04-Jun-22 1:02:00 PM CDT,76.4
04-Jun-22 1:10:27 PM CDT,76.4
04-Jun-22 1:13:44 PM CDT,76.4
04-Jun-22 1:35:21 PM CDT,76.4
04-Jun-22 1:39:13 PM CDT,76.4
04-Jun-22 1:43:56 PM CDT,76.4
04-Jun-22 1:47:19 PM CDT,76.4
04-Jun-22 1:52:08 PM CDT,76.4
04-Jun-22 1:54:50 PM CDT,76.4
04-Jun-22 1:58:57 PM CDT,76.4
04-Jun-22 2:02:36 PM CDT,76.4
04-Jun-22 2:09:43 PM CDT,76.4
04-Jun-22 2:13:52 PM CDT,76.4
04-Jun-22 2:17:30 PM CDT,76.4
04-Jun-22 2:24:09 PM CDT,76.4
04-Jun-22 2:36:25 PM CDT,76.4
04-Jun-22 2:41:44 PM CDT,76.4
04-Jun-22 2:46:27 PM CDT,76.4
04-Jun-22 2:50:05 PM CDT,76.4
04-Jun-22 3:03:46 PM CDT,76.4
04-Jun-22 3:10:46 PM CDT,76.4
04-Jun-22 3:17:04 PM CDT,76.4
04-Jun-22 3:20:16 PM CDT,76.4
04-Jun-22 3:27:16 PM CDT,76.4
04-Jun-22 3:33:54 PM CDT,76.4
04-Jun-22 3:40:55 PM CDT,76.4
04-Jun-22 3:49:15 PM CDT,76.4
04-Jun-22 3:52:43 PM CDT,76.4
04-Jun-22 3:54:56 PM CDT,76.4
04-Jun-22 4:02:01 PM CDT,82.4
04-Jun-22 4:04:39 PM CDT,82.4
04-Jun-22 4:07:23 PM CDT,82.4
04-Jun-22 4:15:47 PM CDT,82.4
04-Jun-22 4:19:03 PM CDT,82.4
04-Jun-22 4:28:19 PM CDT,82.4
04-Jun-22 4:34:24 PM CDT,82.4
04-Jun-22 4:38:29 PM CDT,82.4
04-Jun-22 4:45:40 PM CDT,82.4
04-Jun-22 4:48:32 PM CDT,82.4
04-Jun-22 4:58:26 PM CDT,82.4
04-Jun-22 5:02:41 PM CDT,82.4
04-Jun-22 5:07:04 PM CDT,82.4
04-Jun-22 5:33:00 PM CDT,82.4
04-Jun-22 5:35:26 PM CDT,82.4
04-Jun-22 5:38:04 PM CDT,82.4
04-Jun-22 5:40:55 PM CDT,82.4
04-Jun-22 5:46:17 PM CDT,82.4
04-Jun-22 5:49:33 PM CDT,82.4
04-Jun-22 6:18:59 PM CDT,82.4
04-Jun-22 6:21:09 PM CDT,82.4
04-Jun-22 6:28:15 PM CDT,82.4
04-Jun-22 6:42:07 PM CDT,82.4
04-Jun-22 6:44:54 PM CDT,82.4
04-Jun-22 6:50:48 PM CDT,82.4
04-Jun-22 6:55:29 PM CDT,82.4
04-Jun-22 6:57:51 PM CDT,82.4
04-Jun-22 7:33:53 PM CDT,82.4
04-Jun-22 7:37:24 PM CDT,82.4
04-Jun-22 7:39:43 PM CDT,82.4
04-Jun-22 7:43:55 PM CDT,82.4
04-Jun-22 8:00:17 PM CDT,82.4
04-Jun-22 8:03:01 PM CDT,82.4
04-Jun-22 8:07:37 PM CDT,82.4
04-Jun-22 8:11:46 PM CDT,82.4
04-Jun-22 8:37:32 PM CDT,82.4
04-Jun-22 8:41:32 PM CDT,82.4
04-Jun-22 8:48:07 PM CDT,82.4
04-Jun-22 8:54:24 PM CDT,82.4
04-Jun-22 8:58:53 PM CDT,82.4
04-Jun-22 9:02:10 PM CDT,82.4
04-Jun-22 9:04:58 PM CDT,82.4
04-Jun-22 9:10:56 PM CDT,82.4
04-Jun-22 9:14:34 PM CDT,82.4
04-Jun-22 9:18:35 PM CDT,82.4
04-Jun-22 9:25:51 PM CDT,82.4
04-Jun-22 9:29:56 PM CDT,82.4
04-Jun-22 9:31:49 PM CDT,82.4
04-Jun-22 9:35:07 PM CDT,82.4
04-Jun-22 9:45:26 PM CDT,82.4
04-Jun-22 9:52:52 PM CDT,82.4
04-Jun-22 10:00:12 PM CDT,82.4
04-Jun-22 10:02:35 PM CDT,82.4
04-Jun-22 10:05:25 PM CDT,82.4
04-Jun-22 10:10:20 PM CDT,82.4
04-Jun-22 10:24:02 PM CDT,82.4
04-Jun-22 10:27:00 PM CDT,82.4
04-Jun-22 10:33:28 PM CDT,82.4
04-Jun-22 10:41:21 PM CDT,82.4
04-Jun-22 10:43:03 PM CDT,82.4
04-Jun-22 10:52:10 PM CDT,82.4
04-Jun-22 11:05:58 PM CDT,82.4
04-Jun-22 11:09:10 PM CDT,82.4
04-Jun-22 11:15:51 PM CDT,82.4
04-Jun-22 11:19:50 PM CDT,82.4
04-Jun-22 11:27:03 PM CDT,82.4
04-Jun-22 11:31:12 PM CDT,82.4
04-Jun-22 11:39:06 PM CDT,82.4
04-Jun-22 11:42:28 PM CDT,82.4
04-Jun-22 11:48:40 PM CDT,82.4
04-Jun-22 11:55:38 PM CDT,82.4
05-Jun-22 12:00:39 AM CDT,82.4
05-Jun-22 12:03:03 AM CDT,82.4
05-Jun-22 12:07:12 AM CDT,82.4
05-Jun-22 12:14:05 AM CDT,82.4
05-Jun-22 12:20:16 AM CDT,82.4
05-Jun-22 12:26:04 AM CDT,82.4
05-Jun-22 12:33:44 AM CDT,82.4
05-Jun-22 12:44:20 AM CDT,82.4
05-Jun-22 12:51:52 AM CDT,82.4
05-Jun-22 1:05:14 AM CDT,82.4
05-Jun-22 1:11:31 AM CDT,82.4
05-Jun-22 1:15:14 AM CDT,82.4
05-Jun-22 1:17:05 AM CDT,82.4
05-Jun-22 1:20:32 AM CDT,82.4
05-Jun-22 1:29:05 AM CDT,82.4
05-Jun-22 1:35:14 AM CDT,82.4
05-Jun-22 1:41:42 AM CDT,82.4
05-Jun-22 1:44:52 AM CDT,82.4
05-Jun-22 1:52:03 AM CDT,82.4
05-Jun-22 1:54:57 AM CDT,82.4
05-Jun-22 2:04:32 AM CDT,82.4
05-Jun-22 2:07:20 AM CDT,82.4
05-Jun-22 2:09:56 AM CDT,82.4
05-Jun-22 2:13:05 AM CDT,82.5
05-Jun-22 2:17:29 AM CDT,82.4
05-Jun-22 2:21:37 AM CDT,82.4
05-Jun-22 2:25:36 AM CDT,82.4
